56	2
35	1
60	2
220	3
308	1
67	1
215	3
73	3
319	4
251	1
115	1
112	1
185	4
348	1
365	3
333	3
86	4
168	2
364	5
263	2
207	1
242	5
183	3
376	5
224	5
177	4
12	4
75	4
111	1
23	4
264	5
41	1
68	3
82	2
130	1
125	3
77	5
172	1
71	2
339	3
66	2
103	1
280	3
208	1
59	2
336	5
211	1
343	2
26	4
366	5
358	4
127	1
116	1
100	3
79	1
279	1
230	3
195	4
374	3
141	5
278	1
388	5
135	3
389	3
222	4
138	1
276	1
46	5
107	1
295	2
57	2
381	1
152	2
247	2
170	1
397	2
129	4
238	5
250	2
78	3
133	5
72	5
258	2
184	3
252	2
1	1
137	1
22	1
154	2
313	1
391	2
237	2
206	1
288	1
270	3
354	2
299	3
33	4
345	2
40	2
400	3
231	4
113	1
245	2
254	2
283	4
165	2
309	1
142	2
5	1
114	1
55	2
265	2
325	3
136	1
117	1
45	5
145	3
282	2
275	4
342	2
337	1
393	3
363	4
378	1
351	4
158	4
218	4
176	1
28	3
148	4
92	2
36	4
118	1
162	1
84	5
95	4
203	1
25	3
7	1
292	2
353	2
232	1
93	2
296	2
304	1
18	4
240	3
147	2
157	4
392	3
16	1
370	3
341	2
287	3
349	3
19	1
44	4
266	2
31	4
217	1
146	4
368	1
74	1
61	2
29	2
390	3
380	2
212	1
303	1
228	3
159	2
193	2
226	4
101	1
360	3
223	4
105	1
399	2
285	4
17	1
271	2
335	3
166	4
198	2
214	1
331	4
89	3
80	3
51	1
274	4
246	3
143	2
48	2
15	1
97	4
330	5
284	5
134	3
110	1
30	3
234	2
6	1
219	5
367	5
272	3
182	5
253	2
153	2
164	3
186	4
64	2
394	3
267	1
90	3
139	2
13	1
4	1
359	3
104	1
316	1
328	1
52	2
179	3
369	2
356	4
302	1
171	4
11	4
43	3
69	3
300	3
85	4
119	1
39	3
216	4
126	1
108	1
382	5
156	4
2	4
124	1
307	1
261	4
27	2
10	3
144	2
273	3
257	2
352	2
312	1
290	3
81	2
20	1
200	3
340	2
187	4
213	1
398	2
329	4
344	2
346	4
9	1
189	3
294	2
227	5
109	1
161	5
383	3
395	2
249	2
372	1
241	4
88	1
209	1
236	2
120	1
323	1
260	3
297	4
24	4
8	1
37	2
83	2
190	3
201	4
99	2
121	4
311	4
281	2
14	1
386	4
314	1
357	4
334	5
174	5
322	1
269	1
315	3
123	1
305	1
268	1
32	1
197	4
233	2
196	2
262	3
320	1
324	1
210	1
151	2
239	2
63	2
54	2
191	5
91	2
62	3
244	4
205	1
327	1
150	3
122	1
58	3
199	3
173	3
256	1
277	1
188	4
361	2
98	5
355	3
235	1
204	1
385	4
377	1
321	4
384	3
371	1
310	1
76	1
34	2
318	1
243	3
50	3
194	2
301	1
42	3
317	1
132	5
167	4
202	1
87	3
248	2
169	2
140	2
180	3
255	2
160	3
289	5
49	3
291	2
106	1
94	2
225	3
102	1
347	4
128	4
259	2
379	2
332	5
21	4
375	4
396	4
38	3
163	3
229	2
350	3
131	4
70	3
192	2
326	3
221	1
373	3
53	2
362	1
47	3
175	5
286	5
338	5
3	1
387	4
96	2
306	1
178	1
149	3
181	4
155	2
65	2
293	2
298	5
